time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-22T16:33:14.566Z,30.9034,142.0856,10,5,mb,46,136,2.93,0.93,us,us7000kxh4,2023-09-22T16:48:54.040Z,"Izu Islands, Japan region",earthquake,9.41,1.906,0.052,122,reviewed,us,us
2023-09-22T16:19:32.763Z,-14.9289,166.8404,40.12,5.4,mww,92,31,6.098,0.99,us,us7000kxh2,2023-09-23T16:22:49.040Z,"27 km WNW of Port-Olry, Vanuatu",earthquake,6.89,6.218,0.078,16,reviewed,us,us
2023-09-22T14:59:17.151Z,-7.1322,129.7186,155.322,5.8,mww,75,76,2.599,0.91,us,us7000kxe7,2023-09-23T15:02:00.682Z,"Kepulauan Babar, Indonesia",earthquake,8.99,2.159,0.042,55,reviewed,us,us
2023-09-22T13:53:51.447Z,36.6683,71.0422,216.467,4.2,mb,28,72,2.56,0.41,us,us7000kxe1,2023-09-23T05:00:02.040Z,"28 km SE of Jurm, Afghanistan",earthquake,7.94,3.843,0.166,10,reviewed,us,us
2023-09-22T12:22:00.601Z,-24.6064,179.8635,512.693,4.3,mb,37,95,5.041,0.59,us,us7000kxcm,2023-09-22T13:03:52.040Z,"south of the Fiji Islands",earthquake,15.06,9.103,0.107,25,reviewed,us,us
2023-09-22T12:18:31.415Z,32.2816,-103.3111,7.935,3.5,ml,32,60,0.104,0.39,us,us7000kxci,2023-09-23T12:21:54.061Z,"21 km NNW of Jal, New Mexico",earthquake,2.48,6.886,0.085,26,reviewed,us,us
2023-09-22T11:59:08.923Z,54.9717,-160.3829,46.316,4,mb,40,158,0.382,0.66,us,us7000kxch,2023-09-22T17:35:47.263Z,"41 km S of Sand Point, Alaska",earthquake,7.19,14.318,0.173,9,reviewed,us,us
2023-09-22T11:38:15.180Z,18.3671666666667,-66.0703333333333,108.62,3.28,md,16,165,0.05913,0.2,pr,pr71425538,2023-09-22T20:27:22.007Z,"4 km ENE of Guaynabo, Puerto Rico",earthquake,1.74,0.85,0.0381534930859981,8,reviewed,pr,pr
2023-09-22T10:46:38.850Z,35.54033333,-96.7555,7,3.22,ml,101,35,0,0.18,ok,ok2023sped,2023-09-22T19:33:19.340Z,"8 km NW of Prague, Oklahoma",earthquake,,0.4,0.21,39,reviewed,ok,ok
2023-09-22T10:14:55.911Z,-10.0452,-72.9364,220.411,4.5,mb,84,68,4.293,0.67,us,us7000kxc3,2023-09-22T19:32:25.630Z,"Central Peru",earthquake,7.36,8.539,0.065,69,reviewed,us,us
